Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
3,269.391566253836,-3.42636625296766e-05,31.9989035627991,-0.00622340025812085,0.993776599741879,0.239853179131969,0.0394834826523465
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
3,269.391566253836,-3.42636625296766e-05,31.9989035627991,-0.00622340025812085,0.993776599741879,0.239853179131969,0.0394834826523465
4,269.381086844209,0.000205661947567215,32.0065811823222,-0.00723477014709828,0.992765229852902,0.240171508787032,0.0395192947385411
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
3,269.391566253836,-3.42636625296766e-05,31.9989035627991,-0.00622340025812085,0.993776599741879,0.239853179131969,0.0394834826523465
4,269.381086844209,0.000205661947567215,32.0065811823222,-0.00723477014709828,0.992765229852902,0.240171508787032,0.0395192947385411
5,269.382810453805,-2.26777658353106e-05,31.9992743114933,-0.00757107398415879,0.992428926015841,0.240273606538838,0.0395307807356193
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
3,269.391566253836,-3.42636625296766e-05,31.9989035627991,-0.00622340025812085,0.993776599741879,0.239853179131969,0.0394834826523465
4,269.381086844209,0.000205661947567215,32.0065811823222,-0.00723477014709828,0.992765229852902,0.240171508787032,0.0395192947385411
5,269.382810453805,-2.26777658353106e-05,31.9992743114933,-0.00757107398415879,0.992428926015841,0.240273606538838,0.0395307807356193
6,269.37845002047,-3.3273405035672e-05,31.9989352510389,-0.0079335180332738,0.992066481966726,0.240407319019369,0.039545823389679
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
3,269.391566253836,-3.42636625296766e-05,31.9989035627991,-0.00622340025812085,0.993776599741879,0.239853179131969,0.0394834826523465
4,269.381086844209,0.000205661947567215,32.0065811823222,-0.00723477014709828,0.992765229852902,0.240171508787032,0.0395192947385411
5,269.382810453805,-2.26777658353106e-05,31.9992743114933,-0.00757107398415879,0.992428926015841,0.240273606538838,0.0395307807356193
6,269.37845002047,-3.3273405035672e-05,31.9989352510389,-0.0079335180332738,0.992066481966726,0.240407319019369,0.039545823389679
7,269.360833610233,-6.17967721698864e-05,31.9980225032906,-0.00887386832426584,0.991126131675734,0.240733728548576,0.0395825444617147
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
1,269.248984135668,0.0115084892628508,32.3682716564112,-0.000501109391428223,0.999498890608572,0.23978289402111,0.0394755755773749
2,269.409349071806,-0.000516963275942417,31.9834571751698,-0.00496400608700698,0.995035993912993,0.239282169459283,0.0394192440641694
3,269.391566253836,-3.42636625296766e-05,31.9989035627991,-0.00622340025812085,0.993776599741879,0.239853179131969,0.0394834826523465
4,269.381086844209,0.000205661947567215,32.0065811823222,-0.00723477014709828,0.992765229852902,0.240171508787032,0.0395192947385411
5,269.382810453805,-2.26777658353106e-05,31.9992743114933,-0.00757107398415879,0.992428926015841,0.240273606538838,0.0395307807356193
6,269.37845002047,-3.3273405035672e-05,31.9989352510389,-0.0079335180332738,0.992066481966726,0.240407319019369,0.039545823389679
7,269.360833610233,-6.17967721698864e-05,31.9980225032906,-0.00887386832426584,0.991126131675734,0.240733728548576,0.0395825444617147
8,269.285203734825,0.000819255461560253,32.0262161747699,-0.0129099770683221,0.987090022931678,0.242017127920074,0.0397269268910084
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Voltage_value,Voltage_right_value
