Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
2,268.573222495261,-0.0122219955211379,0.0148166700671829,-0.132286745606855,0.867713254393145,-0.469540089899824,5304599.10100176,0.250713910236028,0.0407053149015531
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
2,268.573222495261,-0.0122219955211379,0.0148166700671829,-0.132286745606855,0.867713254393145,-0.469540089899824,5304599.10100176,0.250713910236028,0.0407053149015531
3,268.303176756837,-0.00523259305312573,0.0149215111042031,-0.109825962362873,0.890174037637127,-0.407711305884577,5922886.94115422,0.242384720732198,0.0397682810823722
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
2,268.573222495261,-0.0122219955211379,0.0148166700671829,-0.132286745606855,0.867713254393145,-0.469540089899824,5304599.10100176,0.250713910236028,0.0407053149015531
3,268.303176756837,-0.00523259305312573,0.0149215111042031,-0.109825962362873,0.890174037637127,-0.407711305884577,5922886.94115422,0.242384720732198,0.0397682810823722
4,268.181307748673,-0.00283802487459661,0.0149574296268811,-0.094302598135515,0.905697401864485,-0.374038736207448,6259612.63792552,0.236187989543774,0.0390711488236745
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
2,268.573222495261,-0.0122219955211379,0.0148166700671829,-0.132286745606855,0.867713254393145,-0.469540089899824,5304599.10100176,0.250713910236028,0.0407053149015531
3,268.303176756837,-0.00523259305312573,0.0149215111042031,-0.109825962362873,0.890174037637127,-0.407711305884577,5922886.94115422,0.242384720732198,0.0397682810823722
4,268.181307748673,-0.00283802487459661,0.0149574296268811,-0.094302598135515,0.905697401864485,-0.374038736207448,6259612.63792552,0.236187989543774,0.0390711488236745
5,268.119428912924,-0.0015274222590016,0.014977088666115,-0.0804590369757203,0.91954096302428,-0.33865316650948,6613468.3349052,0.230978214949369,0.0384850491818041
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
2,268.573222495261,-0.0122219955211379,0.0148166700671829,-0.132286745606855,0.867713254393145,-0.469540089899824,5304599.10100176,0.250713910236028,0.0407053149015531
3,268.303176756837,-0.00523259305312573,0.0149215111042031,-0.109825962362873,0.890174037637127,-0.407711305884577,5922886.94115422,0.242384720732198,0.0397682810823722
4,268.181307748673,-0.00283802487459661,0.0149574296268811,-0.094302598135515,0.905697401864485,-0.374038736207448,6259612.63792552,0.236187989543774,0.0390711488236745
5,268.119428912924,-0.0015274222590016,0.014977088666115,-0.0804590369757203,0.91954096302428,-0.33865316650948,6613468.3349052,0.230978214949369,0.0384850491818041
6,268.089698924098,-0.000608286666505586,0.0149908757000024,-0.0708665114556646,0.929133488544335,-0.310938804934909,6890611.95065091,0.227454203556797,0.0380885979001397
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,267.394066196168,0.0962178320365017,0.0164432674805475,-0.144477761915154,0.855522238084846,-0.455974506390062,5440254.93609938,0.276661502501535,0.0436244190314227
2,268.573222495261,-0.0122219955211379,0.0148166700671829,-0.132286745606855,0.867713254393145,-0.469540089899824,5304599.10100176,0.250713910236028,0.0407053149015531
3,268.303176756837,-0.00523259305312573,0.0149215111042031,-0.109825962362873,0.890174037637127,-0.407711305884577,5922886.94115422,0.242384720732198,0.0397682810823722
4,268.181307748673,-0.00283802487459661,0.0149574296268811,-0.094302598135515,0.905697401864485,-0.374038736207448,6259612.63792552,0.236187989543774,0.0390711488236745
5,268.119428912924,-0.0015274222590016,0.014977088666115,-0.0804590369757203,0.91954096302428,-0.33865316650948,6613468.3349052,0.230978214949369,0.0384850491818041
6,268.089698924098,-0.000608286666505586,0.0149908757000024,-0.0708665114556646,0.929133488544335,-0.310938804934909,6890611.95065091,0.227454203556797,0.0380885979001397
7,268.074586388243,-0.00017892990513646,0.014997316051423,-0.0662041698762467,0.933795830123753,-0.287286122398565,7127138.77601435,0.225721150484565,0.0378936294295135
