Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
2,309.586130250021,-0.360116159883288,9.59825760175067,-0.153260286020888,0.846739713979112,-0.342072111731704,6579278.88268296,0.198758120438109,0.0348602885492873
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
2,309.586130250021,-0.360116159883288,9.59825760175067,-0.153260286020888,0.846739713979112,-0.342072111731704,6579278.88268296,0.198758120438109,0.0348602885492873
3,332.417331174648,-0.823569854785013,2.64645217822481,-0.309943878758785,0.690056121241215,-0.00308484634676354,9969151.53653236,0.218257121576193,0.0370539261773217
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
2,309.586130250021,-0.360116159883288,9.59825760175067,-0.153260286020888,0.846739713979112,-0.342072111731704,6579278.88268296,0.198758120438109,0.0348602885492873
3,332.417331174648,-0.823569854785013,2.64645217822481,-0.309943878758785,0.690056121241215,-0.00308484634676354,9969151.53653236,0.218257121576193,0.0370539261773217
4,296.847242869219,0.964808377748896,29.4721256662334,-0.103056027853844,0.896943972146156,-0.0737038695844584,9262961.30415542,0.349697677092666,0.0518409886729249
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
2,309.586130250021,-0.360116159883288,9.59825760175067,-0.153260286020888,0.846739713979112,-0.342072111731704,6579278.88268296,0.198758120438109,0.0348602885492873
3,332.417331174648,-0.823569854785013,2.64645217822481,-0.309943878758785,0.690056121241215,-0.00308484634676354,9969151.53653236,0.218257121576193,0.0370539261773217
4,296.847242869219,0.964808377748896,29.4721256662334,-0.103056027853844,0.896943972146156,-0.0737038695844584,9262961.30415542,0.349697677092666,0.0518409886729249
5,297.720301547161,-0.699187858950301,4.51218211574548,-0.274823702234238,0.725176297765762,-0.670813009768271,3291869.90231729,0.244432882098175,0.0399986992360447
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
2,309.586130250021,-0.360116159883288,9.59825760175067,-0.153260286020888,0.846739713979112,-0.342072111731704,6579278.88268296,0.198758120438109,0.0348602885492873
3,332.417331174648,-0.823569854785013,2.64645217822481,-0.309943878758785,0.690056121241215,-0.00308484634676354,9969151.53653236,0.218257121576193,0.0370539261773217
4,296.847242869219,0.964808377748896,29.4721256662334,-0.103056027853844,0.896943972146156,-0.0737038695844584,9262961.30415542,0.349697677092666,0.0518409886729249
5,297.720301547161,-0.699187858950301,4.51218211574548,-0.274823702234238,0.725176297765762,-0.670813009768271,3291869.90231729,0.244432882098175,0.0399986992360447
6,293.563440499968,-0.918486864731298,1.22269702903053,-0.45083073321274,0.54916926678726,-0.520413539886323,4795864.60113677,0.414498888720189,0.0591311249810213
Iteration,AverageTemperature,Power_value,Power_right_value,Volume_value,Volume_right_value,Stress_Pnorm_value,Stress_Pnorm_right_value,Voltage_value,Voltage_right_value
1,300.592394260079,0.151684760492647,17.2752714073897,-0.0019149103412599,0.99808508965874,0.248429564084496,12484295.640845,0.164337013762256,0.0309879140482539
2,309.586130250021,-0.360116159883288,9.59825760175067,-0.153260286020888,0.846739713979112,-0.342072111731704,6579278.88268296,0.198758120438109,0.0348602885492873
3,332.417331174648,-0.823569854785013,2.64645217822481,-0.309943878758785,0.690056121241215,-0.00308484634676354,9969151.53653236,0.218257121576193,0.0370539261773217
4,296.847242869219,0.964808377748896,29.4721256662334,-0.103056027853844,0.896943972146156,-0.0737038695844584,9262961.30415542,0.349697677092666,0.0518409886729249
5,297.720301547161,-0.699187858950301,4.51218211574548,-0.274823702234238,0.725176297765762,-0.670813009768271,3291869.90231729,0.244432882098175,0.0399986992360447
6,293.563440499968,-0.918486864731298,1.22269702903053,-0.45083073321274,0.54916926678726,-0.520413539886323,4795864.60113677,0.414498888720189,0.0591311249810213
7,285.531873651056,-0.237317625801866,11.440235612972,-0.388321547781062,0.611678452218938,-0.847278010097593,1527219.89902407,0.603848614607461,0.0804329691433394
